aX,aY,aZ,gX,gY,gZ
0.925,-0.495,0.767,6.714,8.057,-5.249
0.730,-0.430,0.322,-55.176,30.884,134.216
0.785,-0.464,0.349,-21.423,8.118,47.974
0.788,-0.479,0.347,-9.216,-2.747,11.719
0.787,-0.486,0.338,-6.348,-5.066,5.249
0.778,-0.493,0.323,-5.981,-5.554,6.226
0.762,-0.500,0.306,-6.592,-5.554,7.874
0.746,-0.500,0.292,-7.935,-4.578,9.155
0.745,-0.498,0.281,-9.338,-2.869,9.888
0.750,-0.496,0.279,-10.559,-2.014,11.169
0.749,-0.498,0.284,-11.047,-2.136,12.512
0.757,-0.500,0.293,-11.841,-1.526,13.367
0.771,-0.500,0.298,-12.939,-0.061,13.550
0.786,-0.500,0.303,-14.160,1.099,13.794
0.799,-0.489,0.307,-15.137,1.953,13.977
0.812,-0.470,0.313,-16.479,2.808,13.855
0.824,-0.447,0.317,-18.005,3.113,13.489
0.834,-0.422,0.324,-19.043,3.113,12.695
0.843,-0.397,0.338,-19.043,3.235,11.780
0.843,-0.382,0.357,-18.127,3.052,10.681
0.843,-0.369,0.372,-16.663,3.235,9.216
0.844,-0.360,0.381,-14.648,3.418,7.751
0.846,-0.358,0.384,-12.024,2.686,5.920
0.841,-0.366,0.377,-9.460,1.526,3.967
0.830,-0.375,0.366,-7.690,0.854,1.770
0.811,-0.381,0.357,-6.775,1.160,-0.061
0.797,-0.391,0.351,-6.653,2.075,-1.465
0.791,-0.396,0.347,-7.202,3.662,-2.319
0.799,-0.389,0.345,-7.996,5.432,-2.625
0.815,-0.374,0.346,-8.667,7.202,-2.502
0.832,-0.361,0.349,-8.972,8.362,-2.014
0.842,-0.349,0.347,-8.850,8.850,-1.526
0.845,-0.335,0.347,-7.996,9.155,-1.221
0.844,-0.330,0.351,-6.470,9.277,-0.916
0.844,-0.333,0.356,-4.395,9.216,-0.305
0.843,-0.342,0.356,-2.258,8.728,0.366
0.852,-0.359,0.357,-0.122,7.507,1.160
0.853,-0.383,0.355,1.282,5.615,2.380
0.853,-0.397,0.349,1.709,4.089,3.113
0.849,-0.399,0.342,1.526,3.357,3.540
0.840,-0.391,0.337,0.793,2.747,3.601
0.833,-0.386,0.336,0.244,2.502,3.662
0.825,-0.386,0.337,0.183,2.869,3.174
0.821,-0.389,0.339,0.671,3.540,2.625
0.818,-0.393,0.341,1.709,4.639,1.892
0.825,-0.401,0.342,2.380,6.287,1.099
0.842,-0.406,0.338,2.930,7.629,0.610
0.859,-0.410,0.334,3.296,8.301,0.000
0.875,-0.408,0.326,2.930,8.606,-0.671
0.903,-0.397,0.278,1.526,7.751,-1.526
0.917,-0.396,0.270,-2.319,5.859,-3.357
0.982,-0.350,0.317,-7.202,5.127,-5.432
0.957,-0.315,0.314,-10.620,2.258,-8.301
0.955,-0.303,0.335,-9.583,-0.183,-13.672
0.928,-0.318,0.344,-8.301,-1.709,-17.761
0.887,-0.355,0.346,-6.958,-3.357,-20.752
0.849,-0.385,0.330,-6.592,-3.540,-21.423
0.826,-0.415,0.320,-8.179,-3.235,-18.860
0.819,-0.414,0.349,-11.169,-2.747,-14.648
0.826,-0.381,0.387,-12.390,-1.648,-9.644
0.845,-0.350,0.414,-10.498,-1.160,-3.967
0.862,-0.347,0.422,-4.944,-2.319,1.526
0.874,-0.360,0.418,2.441,-3.357,6.104
0.881,-0.381,0.397,9.399,-4.028,8.911
0.885,-0.412,0.363,14.038,-4.639,10.681
0.870,-0.432,0.340,15.747,-5.554,11.475
0.856,-0.456,0.322,14.954,-6.714,11.719
0.839,-0.477,0.311,12.329,-7.385,11.475
0.813,-0.473,0.314,8.667,-7.812,10.864
0.787,-0.473,0.333,5.005,-8.057,10.742
0.783,-0.463,0.352,2.686,-7.812,10.925
0.787,-0.443,0.352,2.319,-6.470,10.132
0.786,-0.430,0.342,1.892,-5.310,8.850
0.784,-0.429,0.342,1.648,-4.822,6.836
0.783,-0.430,0.348,1.709,-4.333,4.578
0.779,-0.432,0.348,1.770,-3.967,2.441
0.775,-0.432,0.345,1.587,-3.357,0.732
0.775,-0.431,0.346,1.465,-2.869,-0.183
0.778,-0.434,0.350,1.831,-2.319,-0.916
0.782,-0.434,0.347,1.770,-1.465,-1.953
0.788,-0.436,0.350,1.404,-0.549,-2.625
0.791,-0.440,0.358,0.610,-0.061,-3.479
0.791,-0.447,0.364,-0.366,0.610,-4.333
0.792,-0.453,0.364,-1.038,1.221,-4.578
0.802,-0.449,0.365,-1.526,2.197,-4.639
0.816,-0.439,0.365,-2.197,3.113,-4.761
0.825,-0.424,0.365,-2.747,3.235,-5.005
0.824,-0.413,0.364,-2.869,2.747,-5.188
0.820,-0.405,0.362,-3.052,2.014,-5.005
0.815,-0.400,0.367,-3.052,1.770,-4.517
0.816,-0.397,0.374,-2.563,1.892,-3.723
0.824,-0.396,0.369,-1.282,2.502,-2.563
0.829,-0.391,0.359,-0.061,3.052,-1.038
0.839,-0.387,0.352,0.732,2.991,0.183
0.844,-0.389,0.349,0.732,1.831,1.587
0.840,-0.397,0.348,0.610,0.427,2.808
0.834,-0.404,0.356,-0.061,-0.549,4.028
0.833,-0.409,0.362,-0.671,-0.916,5.310
0.833,-0.411,0.365,-1.038,-1.160,6.714
0.832,-0.414,0.368,-1.343,-1.160,7.446
0.829,-0.417,0.370,-1.282,-0.916,7.751
0.827,-0.418,0.373,-1.160,-0.671,7.568
0.823,-0.418,0.375,-0.977,-0.488,7.446
0.815,-0.399,0.413,-0.366,-0.061,7.446
0.815,-0.390,0.409,1.831,0.549,7.812
0.826,-0.394,0.355,4.456,1.587,7.874
0.835,-0.392,0.317,4.272,2.380,7.324
0.833,-0.389,0.323,1.953,2.014,6.104
0.833,-0.392,0.344,-0.427,1.221,4.822
0.831,-0.391,0.360,-1.465,0.977,3.601
0.831,-0.394,0.368,-1.709,0.610,2.502
0.835,-0.401,0.366,-1.465,0.183,1.587
0.840,-0.410,0.358,-1.465,-0.183,0.916
0.847,-0.416,0.350,-1.770,-0.916,0.183
0.855,-0.419,0.350,-2.869,-1.404,-0.977
0.857,-0.414,0.361,-4.211,-1.953,-2.808
0.843,-0.411,0.376,-4.639,-2.625,-4.333
0.826,-0.411,0.381,-4.272,-2.686,-5.066
0.821,-0.417,0.377,-3.723,-1.953,-4.822
0.824,-0.419,0.372,-3.540,-0.916,-4.395
0.830,-0.420,0.373,-4.028,-0.366,-2.747
0.828,-0.415,0.377,-3.845,-0.793,-1.465
0.823,-0.412,0.382,-3.357,-1.526,0.000
0.819,-0.411,0.384,-2.686,-2.136,1.831
0.817,-0.409,0.386,-1.526,-2.258,3.601
0.821,-0.404,0.380,-0.305,-2.136,4.822
0.826,-0.403,0.373,0.366,-2.319,5.310
0.817,-0.400,0.372,0.488,-2.808,5.432
0.804,-0.396,0.374,0.183,-3.113,5.371
0.798,-0.393,0.375,0.061,-2.930,5.249
0.800,-0.387,0.378,0.305,-2.747,5.310
0.800,-0.380,0.381,1.221,-2.380,5.188
0.800,-0.380,0.382,1.953,-2.197,4.822
0.798,-0.388,0.381,2.319,-2.380,4.639
0.797,-0.394,0.383,2.625,-2.075,4.211
0.796,-0.396,0.384,2.686,-1.526,3.967
0.797,-0.403,0.383,2.319,-0.488,3.479
0.802,-0.405,0.382,1.831,0.427,3.052
0.811,-0.404,0.380,1.282,0.916,2.502
0.820,-0.402,0.381,0.732,1.038,1.709
0.826,-0.402,0.382,0.305,0.977,0.732
0.828,-0.404,0.384,0.183,0.732,-0.488
0.823,-0.407,0.389,0.000,0.488,-1.099
0.821,-0.409,0.392,-0.061,0.427,-1.282
0.826,-0.411,0.388,-0.183,0.671,-1.221
0.831,-0.410,0.391,-0.427,0.549,-1.099
0.834,-0.403,0.389,-0.488,0.244,-1.038
0.831,-0.402,0.381,-0.366,-0.244,-0.916
0.828,-0.404,0.376,-0.366,-0.305,-0.854
0.829,-0.401,0.376,-0.488,-0.305,-0.488
0.829,-0.398,0.380,-0.488,-0.732,0.183
0.828,-0.396,0.385,0.122,-1.160,0.977
0.825,-0.398,0.386,0.793,-1.282,1.770
0.828,-0.403,0.381,1.282,-0.916,2.563
0.823,-0.401,0.376,1.526,-0.977,3.052
0.820,-0.410,0.386,1.282,-1.526,2.686
0.813,-0.413,0.394,1.160,-1.465,2.441
0.813,-0.416,0.395,1.587,-1.221,2.258
0.818,-0.419,0.392,1.831,-0.977,1.709
0.822,-0.420,0.389,1.526,-0.854,1.038
0.822,-0.414,0.388,0.916,-0.916,0.427
0.819,-0.404,0.389,0.122,-1.160,0.061
0.812,-0.397,0.391,-0.305,-1.099,-0.061
0.806,-0.392,0.391,-0.122,-1.282,0.366
0.802,-0.389,0.392,0.549,-1.282,0.977
0.792,-0.391,0.393,1.099,-0.854,1.465
0.785,-0.395,0.400,1.892,-0.366,2.014
0.787,-0.404,0.398,2.502,0.732,2.686
0.798,-0.409,0.395,2.808,1.465,3.357
0.806,-0.404,0.393,2.747,1.587,3.479
0.812,-0.403,0.395,2.747,1.648,2.869
0.817,-0.407,0.393,3.052,1.831,1.831
0.818,-0.415,0.384,3.113,1.282,1.160
0.814,-0.418,0.378,2.808,0.793,0.793
0.812,-0.412,0.381,2.197,0.793,0.854
0.813,-0.404,0.387,1.709,0.916,1.160
0.814,-0.401,0.393,1.770,0.671,1.465
0.811,-0.407,0.395,1.770,0.671,1.709
0.805,-0.415,0.399,2.197,1.282,1.892
0.808,-0.414,0.398,2.502,1.648,2.197
0.812,-0.412,0.393,2.625,2.136,2.869
0.824,-0.415,0.393,2.808,2.319,3.052
0.831,-0.416,0.393,2.930,2.075,3.235
0.830,-0.415,0.393,3.052,1.404,2.869
0.825,-0.413,0.391,3.479,0.977,2.380
0.818,-0.406,0.390,4.028,1.038,2.136
0.813,-0.398,0.381,4.150,1.099,2.136
0.810,-0.393,0.377,4.150,1.038,2.014
0.805,-0.388,0.380,4.150,0.977,2.014
0.806,-0.389,0.390,5.005,1.526,1.709
0.821,-0.395,0.396,6.042,1.831,1.465
0.836,-0.405,0.394,7.324,1.404,1.160
0.841,-0.414,0.392,7.874,0.122,0.916
0.836,-0.424,0.390,7.751,-0.732,0.305
0.818,-0.437,0.380,7.202,-1.404,-0.244
0.817,-0.437,0.381,5.859,-1.831,-0.061
0.813,-0.440,0.368,4.456,-1.770,-0.061
0.807,-0.442,0.354,2.502,-1.404,-0.488
0.804,-0.436,0.366,-0.061,-1.221,-1.343
0.804,-0.425,0.378,-2.319,-0.977,-1.404
0.802,-0.405,0.391,-4.028,-0.732,-1.221
0.804,-0.387,0.401,-5.066,-0.488,-0.793
0.801,-0.378,0.412,-4.822,-0.305,-0.122
0.797,-0.371,0.420,-3.784,-0.366,0.305
0.797,-0.370,0.418,-2.075,0.183,0.854
0.798,-0.368,0.408,0.000,0.854,1.038
0.797,-0.373,0.397,1.465,1.099,1.343
0.800,-0.377,0.394,2.258,1.221,1.587
0.802,-0.386,0.400,2.747,1.648,1.709
0.802,-0.401,0.401,3.601,1.831,1.953
0.799,-0.419,0.402,4.150,2.441,2.380
0.800,-0.432,0.399,4.028,2.808,3.052
0.805,-0.436,0.396,3.479,3.296,3.723
0.816,-0.427,0.390,2.869,3.601,4.272
0.823,-0.417,0.385,2.380,3.662,4.211
0.826,-0.417,0.382,2.258,3.418,3.723
0.818,-0.423,0.385,2.319,2.808,3.235
0.811,-0.425,0.389,2.441,2.441,3.296
0.812,-0.421,0.388,2.747,2.319,3.479
0.813,-0.418,0.386,3.479,2.319,3.662
0.810,-0.422,0.380,4.028,2.258,3.479
0.805,-0.434,0.373,3.906,2.197,3.296
0.803,-0.440,0.373,2.991,2.075,3.540
0.812,-0.437,0.385,1.587,2.075,3.662
0.822,-0.430,0.396,0.916,2.136,3.296
0.829,-0.425,0.396,0.793,2.441,2.258
0.832,-0.417,0.391,1.038,2.319,0.916
0.831,-0.415,0.386,0.854,2.075,-0.183
0.828,-0.416,0.387,0.732,1.770,-1.282
0.822,-0.412,0.389,0.916,1.343,-1.831
0.819,-0.407,0.387,1.343,0.977,-1.648
0.819,-0.405,0.385,1.770,0.732,-0.977
0.822,-0.401,0.386,1.831,0.732,-0.244
0.821,-0.404,0.390,2.136,0.366,0.183
0.822,-0.408,0.396,2.686,-0.244,0.366
0.826,-0.411,0.394,3.235,-0.488,0.366
0.824,-0.415,0.383,3.906,-0.488,-0.366
0.815,-0.421,0.368,3.784,-0.488,-1.526
0.807,-0.419,0.366,2.441,-0.488,-2.319
0.801,-0.416,0.374,0.610,-0.549,-2.747
0.806,-0.391,0.395,-1.221,-0.427,-2.319
0.813,-0.391,0.395,-0.732,-0.061,-2.441
0.814,-0.396,0.396,0.061,-0.183,-2.991
0.813,-0.407,0.394,1.038,-0.122,-3.845
0.807,-0.423,0.389,1.526,-0.427,-4.333
0.797,-0.434,0.393,1.160,-0.854,-4.028
0.796,-0.441,0.407,1.282,-0.854,-2.991
0.797,-0.432,0.424,2.319,-0.671,-1.892
0.809,-0.424,0.412,4.944,0.000,-1.038
0.839,-0.416,0.405,7.935,0.061,-0.122
0.848,-0.417,0.384,11.841,-1.038,-0.610
0.854,-0.428,0.386,15.991,-1.953,-1.648
0.839,-0.420,0.384,20.813,-2.991,-2.502
0.842,-0.445,0.380,26.184,-3.540,-2.686
0.802,-0.449,0.335,27.832,-5.188,-1.282
0.801,-0.454,0.349,26.611,-6.226,1.648
0.799,-0.447,0.369,24.475,-7.324,4.822
0.806,-0.442,0.378,22.644,-8.301,7.019
0.817,-0.443,0.372,20.325,-9.033,7.935
0.823,-0.446,0.379,17.090,-9.216,7.629
0.815,-0.451,0.393,13.733,-9.155,5.859
0.798,-0.462,0.399,10.864,-8.911,3.540
0.791,-0.482,0.405,9.033,-7.629,1.404
0.791,-0.484,0.407,8.118,-5.981,-0.244
0.800,-0.485,0.401,7.629,-4.822,-1.770
0.802,-0.459,0.383,7.385,-3.662,-4.150
0.806,-0.415,0.373,7.080,-3.296,-6.104
0.806,-0.386,0.365,7.263,-3.662,-8.301
0.795,-0.383,0.368,7.935,-4.578,-10.071
0.780,-0.392,0.376,8.667,-5.310,-11.047
0.757,-0.404,0.387,9.460,-5.859,-11.108
0.733,-0.421,0.403,9.644,-6.165,-9.827
0.724,-0.440,0.420,9.827,-5.859,-7.507
0.736,-0.448,0.429,10.376,-5.005,-5.554
0.756,-0.460,0.436,10.864,-3.235,-4.517
0.762,-0.475,0.429,11.108,-1.587,-4.456
0.756,-0.487,0.415,10.132,0.000,-4.639
0.751,-0.487,0.402,8.423,1.404,-4.944
