aX,aY,aZ,gX,gY,gZ
0.030,-0.041,0.912,2.014,-0.122,5.676
0.068,-0.031,0.975,2.747,0.427,6.836
-0.145,-0.030,0.842,2.563,0.366,7.874
-0.034,-0.038,1.014,2.563,2.625,8.972
-0.027,-0.014,0.884,1.648,0.305,8.484
-0.033,0.035,0.932,1.160,1.282,8.484
-0.105,-0.000,0.907,0.366,1.404,7.385
0.049,-0.070,1.123,-0.122,2.991,7.874
-0.007,-0.023,0.978,-0.061,2.075,7.385
0.145,-0.014,0.841,0.000,2.808,6.226
0.039,-0.126,1.087,0.549,2.136,6.042
0.028,-0.042,0.851,1.892,2.808,7.141
0.080,-0.011,0.908,3.235,2.747,8.362
0.208,-0.093,1.094,3.174,1.038,7.141
-0.061,-0.043,1.044,2.808,0.183,6.958
0.071,-0.063,1.073,2.808,1.465,6.836
0.171,-0.079,1.052,2.014,-0.427,7.263
0.063,-0.081,1.026,1.953,-0.549,7.019
-0.075,-0.013,0.913,0.610,-0.854,6.226
0.032,-0.074,1.173,0.122,-0.183,6.226
0.027,-0.022,0.908,-0.305,-1.038,7.202
0.075,-0.066,1.056,0.305,0.549,7.263
-0.044,-0.076,1.009,-0.061,0.122,6.592
0.002,-0.011,0.907,0.244,0.488,5.432
-0.002,0.012,0.796,1.221,2.136,5.188
-0.068,0.031,0.958,2.197,1.648,5.493
0.092,-0.064,1.240,3.296,3.235,6.348
0.095,-0.097,0.986,3.662,1.709,7.324
0.108,-0.059,1.109,4.700,2.869,8.301
0.009,-0.137,1.048,4.028,2.258,7.202
-0.007,-0.001,0.967,3.357,2.197,6.958
0.108,0.011,0.813,3.174,2.380,6.470
0.101,-0.013,0.970,2.380,1.343,6.226
-0.090,-0.095,1.202,2.136,0.977,6.897
0.079,-0.058,0.950,1.099,0.244,6.653
0.194,-0.043,1.025,1.404,0.183,6.958
-0.022,-0.077,1.024,0.854,0.183,6.592
-0.190,-0.022,0.930,0.671,0.427,6.592
0.064,-0.024,0.860,1.160,1.770,6.104
0.146,0.005,0.949,0.916,0.549,6.104
-0.052,-0.111,1.267,1.831,1.221,6.836
-0.029,-0.113,1.004,1.343,1.221,6.714
0.052,-0.016,0.873,2.014,1.404,7.141
